/usr/lib64/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
2018-05-03 22:42:43.345630: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-05-03 22:42:44.912384: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1212] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:05:00.0
totalMemory: 10.92GiB freeMemory: 10.76GiB
2018-05-03 22:42:44.912423: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1312] Adding visible gpu devices: 0
2018-05-03 22:42:45.147770: I tensorflow/core/common_runtime/gpu/gpu_device.cc:993] Creating TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11178 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:05:00.0, compute capability: 6.1)
2018-05-03 22:42:45.148886: E tensorflow/stream_executor/cuda/cuda_driver.cc:936] failed to allocate 10.92G (11721113600 bytes) from device: CUDA_ERROR_OUT_OF_MEMORY
finish loading vgg16 model
the step is 000000  mae is 0.291865  sad is 896.609802  mse is 0.339980  mae_t is 0.942919  sad is 26.183924  mse is 1.239487
the step is 000019  mae is 0.240576  sad is 739.048157  mse is 0.259593  mae_t is 0.563563  sad is 6.513108  mse is 0.550443
the step is 000020  mae is 0.257140  sad is 789.935303  mse is 0.275033  mae_t is 0.707455  sad is 4.676285  mse is 0.720689
the step is 000021  mae is 0.223878  sad is 687.753479  mse is 0.235168  mae_t is 0.652941  sad is 2.585654  mse is 0.712622
the step is 000022  mae is 0.241158  sad is 740.836792  mse is 0.251620  mae_t is 0.615135  sad is 13.493608  mse is 0.601098
the step is 000023  mae is 0.253665  sad is 779.259277  mse is 0.264992  mae_t is 0.540946  sad is 5.159008  mse is 0.528623
the step is 000024  mae is 0.228104  sad is 700.734070  mse is 0.232549  mae_t is 0.468207  sad is 4.832369  mse is 0.406688
the step is 000025  mae is 0.259920  sad is 798.473511  mse is 0.270663  mae_t is 0.662668  sad is 24.146299  mse is 0.691258
the step is 000026  mae is 0.252923  sad is 776.978638  mse is 0.259706  mae_t is 0.684676  sad is 15.151192  mse is 0.700822
the step is 000027  mae is 0.186566  sad is 573.130066  mse is 0.180431  mae_t is 0.675114  sad is 2.562063  mse is 0.702360
the step is 000028  mae is 0.266116  sad is 817.507446  mse is 0.273882  mae_t is 0.911292  sad is 5.958946  mse is 0.997582
the step is 000029  mae is 0.229087  sad is 703.754028  mse is 0.225669  mae_t is 0.514871  sad is 2.006458  mse is 0.469238
the step is 000030  mae is 0.251020  sad is 771.134338  mse is 0.278914  mae_t is 0.854729  sad is 9.792634  mse is 1.081793
the step is 000031  mae is 0.190647  sad is 585.666626  mse is 0.197556  mae_t is 0.635393  sad is 7.289238  mse is 0.659109
the step is 000032  mae is 0.231449  sad is 711.012085  mse is 0.233463  mae_t is 0.695436  sad is 7.544794  mse is 0.713449
the step is 000033  mae is 0.245824  sad is 755.171021  mse is 0.255690  mae_t is 0.769622  sad is 11.390409  mse is 0.783520
the step is 000034  mae is 0.230726  sad is 708.790161  mse is 0.234356  mae_t is 0.572056  sad is 5.981998  mse is 0.554289
the step is 000035  mae is 0.208252  sad is 639.749756  mse is 0.201093  mae_t is 0.651721  sad is 7.533246  mse is 0.645900
the step is 000036  mae is 0.218713  sad is 671.887024  mse is 0.216493  mae_t is 0.660785  sad is 19.216284  mse is 0.671015
the step is 000037  mae is 0.206794  sad is 635.271667  mse is 0.200112  mae_t is 0.670823  sad is 11.274531  mse is 0.638290
the step is 000038  mae is 0.180644  sad is 554.937073  mse is 0.165442  mae_t is 0.589031  sad is 11.209848  mse is 0.577302
the step is 000039  mae is 0.198769  sad is 610.618286  mse is 0.185284  mae_t is 0.651850  sad is 22.264585  mse is 0.582592
the step is 000040  mae is 0.148144  sad is 455.099182  mse is 0.127637  mae_t is 0.555490  sad is 9.644979  mse is 0.484555
the step is 000041  mae is 0.150597  sad is 462.633057  mse is 0.129106  mae_t is 0.323154  sad is 7.998705  mse is 0.266691
the step is 000042  mae is 0.143386  sad is 440.481476  mse is 0.121652  mae_t is 0.759738  sad is 7.138509  mse is 0.799262
the step is 000043  mae is 0.147027  sad is 451.666840  mse is 0.131080  mae_t is 0.604237  sad is 13.832808  mse is 0.587865
the step is 000044  mae is 0.103557  sad is 318.125977  mse is 0.074043  mae_t is 0.437797  sad is 5.204100  mse is 0.359472
the step is 000045  mae is 0.127706  sad is 392.312439  mse is 0.101632  mae_t is 0.480048  sad is 6.490247  mse is 0.375099
the step is 000046  mae is 0.147656  sad is 453.599823  mse is 0.123411  mae_t is 0.491706  sad is 8.279355  mse is 0.412050
the step is 000047  mae is 0.128821  sad is 395.736755  mse is 0.102072  mae_t is 0.423796  sad is 10.980558  mse is 0.321037
the step is 000048  mae is 0.126921  sad is 389.901337  mse is 0.100719  mae_t is 0.532637  sad is 4.444329  mse is 0.459693
the step is 000049  mae is 0.122477  sad is 376.249634  mse is 0.094039  mae_t is 0.487685  sad is 3.060714  mse is 0.396912
the step is 000050  mae is 0.123011  sad is 377.890411  mse is 0.094805  mae_t is 0.581704  sad is 1.706143  mse is 0.536201
the step is 000051  mae is 0.138137  sad is 424.355743  mse is 0.112812  mae_t is 0.452284  sad is 12.233832  mse is 0.350564
the step is 000052  mae is 0.103963  sad is 319.375763  mse is 0.074666  mae_t is 0.533067  sad is 6.642559  mse is 0.424175
the step is 000053  mae is 0.092716  sad is 284.822540  mse is 0.064494  mae_t is 0.393246  sad is 3.485737  mse is 0.319587
the step is 000054  mae is 0.093732  sad is 287.946075  mse is 0.064093  mae_t is 0.502987  sad is 7.124811  mse is 0.399104
the step is 000055  mae is 0.086722  sad is 266.409943  mse is 0.056957  mae_t is 0.458951  sad is 3.265903  mse is 0.352774
the step is 000056  mae is 0.091573  sad is 281.313446  mse is 0.060688  mae_t is 0.429933  sad is 5.491106  mse is 0.322311
the step is 000057  mae is 0.068708  sad is 211.069656  mse is 0.039144  mae_t is 0.369262  sad is 5.478739  mse is 0.252517
the step is 000058  mae is 0.073049  sad is 224.406830  mse is 0.040146  mae_t is 0.391666  sad is 7.810999  mse is 0.285738
the step is 000059  mae is 0.070593  sad is 216.862915  mse is 0.040177  mae_t is 0.481646  sad is 4.498581  mse is 0.405334
the step is 000060  mae is 0.070603  sad is 216.893158  mse is 0.044373  mae_t is 0.449003  sad is 6.976612  mse is 0.364491
the step is 000061  mae is 0.062300  sad is 191.385345  mse is 0.035490  mae_t is 0.445226  sad is 7.057278  mse is 0.367468
the step is 000062  mae is 0.064327  sad is 197.612946  mse is 0.037724  mae_t is 0.422607  sad is 1.855248  mse is 0.337809
the step is 000063  mae is 0.081752  sad is 251.142899  mse is 0.055332  mae_t is 0.500091  sad is 2.365434  mse is 0.417801
the step is 000064  mae is 0.056426  sad is 173.339615  mse is 0.027564  mae_t is 0.411264  sad is 11.618210  mse is 0.315438
the step is 000065  mae is 0.083629  sad is 256.907532  mse is 0.056349  mae_t is 0.468830  sad is 8.301115  mse is 0.377803
the step is 000066  mae is 0.053264  sad is 163.627731  mse is 0.024960  mae_t is 0.308831  sad is 1.638970  mse is 0.186529
the step is 000067  mae is 0.075781  sad is 232.800735  mse is 0.047135  mae_t is 0.423616  sad is 7.029065  mse is 0.313421
the step is 000068  mae is 0.059868  sad is 183.915604  mse is 0.028630  mae_t is 0.347624  sad is 1.643571  mse is 0.244094
the step is 000069  mae is 0.060742  sad is 186.599152  mse is 0.031735  mae_t is 0.384688  sad is 8.628946  mse is 0.269484
the step is 000070  mae is 0.058863  sad is 180.826447  mse is 0.030095  mae_t is 0.332277  sad is 1.896307  mse is 0.208121
the step is 000071  mae is 0.061715  sad is 189.588608  mse is 0.031784  mae_t is 0.519948  sad is 7.992647  mse is 0.457700
the step is 000072  mae is 0.066611  sad is 204.629974  mse is 0.037193  mae_t is 0.388120  sad is 10.658561  mse is 0.310920
the step is 000073  mae is 0.054141  sad is 166.320877  mse is 0.024559  mae_t is 0.382149  sad is 0.924804  mse is 0.278284
the step is 000074  mae is 0.057308  sad is 176.049103  mse is 0.027309  mae_t is 0.465154  sad is 6.949863  mse is 0.410616
the step is 000075  mae is 0.062722  sad is 192.681335  mse is 0.032534  mae_t is 0.466795  sad is 8.689865  mse is 0.390792
the step is 000076  mae is 0.065515  sad is 201.261154  mse is 0.035587  mae_t is 0.436039  sad is 4.802102  mse is 0.343718
the step is 000077  mae is 0.062337  sad is 191.498856  mse is 0.031972  mae_t is 0.376603  sad is 7.915450  mse is 0.276097
the step is 000078  mae is 0.063441  sad is 194.892227  mse is 0.031956  mae_t is 0.363486  sad is 5.860849  mse is 0.262911
the step is 000079  mae is 0.064274  sad is 197.449753  mse is 0.034467  mae_t is 0.412426  sad is 13.655418  mse is 0.314445
the step is 000080  mae is 0.062246  sad is 191.221207  mse is 0.032957  mae_t is 0.376795  sad is 15.618146  mse is 0.258003
the step is 000081  mae is 0.064905  sad is 199.388382  mse is 0.036594  mae_t is 0.567868  sad is 1.489523  mse is 0.456391
the step is 000082  mae is 0.052826  sad is 162.281281  mse is 0.022704  mae_t is 0.307278  sad is 5.377053  mse is 0.176822
the step is 000083  mae is 0.058225  sad is 178.866425  mse is 0.026357  mae_t is 0.360553  sad is 6.242978  mse is 0.242424
the step is 000084  mae is 0.088689  sad is 272.452545  mse is 0.055342  mae_t is 0.605076  sad is 0.796286  mse is 0.610279
the step is 000085  mae is 0.083408  sad is 256.230499  mse is 0.048848  mae_t is 0.419406  sad is 9.351930  mse is 0.302631
the step is 000086  mae is 0.072183  sad is 221.747711  mse is 0.040925  mae_t is 0.491820  sad is 9.850666  mse is 0.350504
the step is 000087  mae is 0.062713  sad is 192.654785  mse is 0.033616  mae_t is 0.423500  sad is 10.495609  mse is 0.311479
the step is 000088  mae is 0.056558  sad is 173.747238  mse is 0.028102  mae_t is 0.432420  sad is 2.567717  mse is 0.372367
the step is 000089  mae is 0.052142  sad is 160.179764  mse is 0.023908  mae_t is 0.425272  sad is 3.633529  mse is 0.317961
the step is 000090  mae is 0.051568  sad is 158.415634  mse is 0.024264  mae_t is 0.423209  sad is 1.185835  mse is 0.298758
the step is 000091  mae is 0.050834  sad is 156.162476  mse is 0.022360  mae_t is 0.517823  sad is 1.682931  mse is 0.415532
the step is 000092  mae is 0.057772  sad is 177.475647  mse is 0.028599  mae_t is 0.335939  sad is 8.639009  mse is 0.220805
the step is 000093  mae is 0.058813  sad is 180.673386  mse is 0.029357  mae_t is 0.416579  sad is 8.291181  mse is 0.321829
the step is 000094  mae is 0.060392  sad is 185.523361  mse is 0.030317  mae_t is 0.395506  sad is 5.749876  mse is 0.283697
the step is 000095  mae is 0.051899  sad is 159.433914  mse is 0.021074  mae_t is 0.305120  sad is 8.309042  mse is 0.178220
the step is 000096  mae is 0.059407  sad is 182.497421  mse is 0.029210  mae_t is 0.298203  sad is 0.079623  mse is 0.200845
the step is 000097  mae is 0.061623  sad is 189.306244  mse is 0.030678  mae_t is 0.366038  sad is 12.284969  mse is 0.241113
the step is 000098  mae is 0.063113  sad is 193.884048  mse is 0.030858  mae_t is 0.358514  sad is 8.137918  mse is 0.263794
the step is 000099  mae is 0.061112  sad is 187.736023  mse is 0.030358  mae_t is 0.309485  sad is 0.452161  mse is 0.193929
the step is 000100  mae is 0.056708  sad is 174.207977  mse is 0.024791  mae_t is 0.442464  sad is 4.529954  mse is 0.342861
the step is 000101  mae is 0.096426  sad is 296.221375  mse is 0.064141  mae_t is 0.461743  sad is 2.048295  mse is 0.370796
the step is 000102  mae is 0.050473  sad is 155.053604  mse is 0.019958  mae_t is 0.397086  sad is 11.274479  mse is 0.257944
the step is 000103  mae is 0.052626  sad is 161.667130  mse is 0.021192  mae_t is 0.367051  sad is 2.029430  mse is 0.238899
the step is 000104  mae is 0.049619  sad is 152.429382  mse is 0.020128  mae_t is 0.399327  sad is 3.964128  mse is 0.257594
the step is 000105  mae is 0.055071  sad is 169.178925  mse is 0.024118  mae_t is 0.402318  sad is 5.658606  mse is 0.269173
the step is 000106  mae is 0.071833  sad is 220.671432  mse is 0.041546  mae_t is 0.404289  sad is 5.093640  mse is 0.278210
the step is 000107  mae is 0.061683  sad is 189.490128  mse is 0.027237  mae_t is 0.361174  sad is 5.413643  mse is 0.244362
the step is 000108  mae is 0.059924  sad is 184.087875  mse is 0.026391  mae_t is 0.285312  sad is 4.063129  mse is 0.166340
the step is 000109  mae is 0.068610  sad is 210.769867  mse is 0.033981  mae_t is 0.369530  sad is 6.078041  mse is 0.227388
the step is 000110  mae is 0.068478  sad is 210.364731  mse is 0.032194  mae_t is 0.405711  sad is 4.294859  mse is 0.298675
the step is 000111  mae is 0.056719  sad is 174.240921  mse is 0.023664  mae_t is 0.323974  sad is 10.205495  mse is 0.178315
the step is 000112  mae is 0.080590  sad is 247.573227  mse is 0.046324  mae_t is 0.534711  sad is 10.208700  mse is 0.438262
the step is 000113  mae is 0.052773  sad is 162.118790  mse is 0.021304  mae_t is 0.359141  sad is 4.699724  mse is 0.237820
the step is 000114  mae is 0.057495  sad is 176.625793  mse is 0.025530  mae_t is 0.548389  sad is 1.657786  mse is 0.458496
the step is 000115  mae is 0.053121  sad is 163.187820  mse is 0.021969  mae_t is 0.305728  sad is 5.740360  mse is 0.161570
the step is 000116  mae is 0.057595  sad is 176.932510  mse is 0.025584  mae_t is 0.424968  sad is 3.813669  mse is 0.310064
the step is 000117  mae is 0.055137  sad is 169.381607  mse is 0.022906  mae_t is 0.483176  sad is 5.594221  mse is 0.333519
the step is 000118  mae is 0.062030  sad is 190.557205  mse is 0.029378  mae_t is 0.415715  sad is 0.409899  mse is 0.265427
the step is 000119  mae is 0.054956  sad is 168.823959  mse is 0.023296  mae_t is 0.370663  sad is 4.486133  mse is 0.255268
the step is 000120  mae is 0.054887  sad is 168.611450  mse is 0.023268  mae_t is 0.402304  sad is 6.976364  mse is 0.250261
the step is 000121  mae is 0.057315  sad is 176.071060  mse is 0.026382  mae_t is 0.394372  sad is 4.749429  mse is 0.248597
the step is 000122  mae is 0.058450  sad is 179.559433  mse is 0.027064  mae_t is 0.295197  sad is 2.694265  mse is 0.176090
the step is 000123  mae is 0.063061  sad is 193.724365  mse is 0.031000  mae_t is 0.387783  sad is 7.833213  mse is 0.278388
the step is 000124  mae is 0.058451  sad is 179.560165  mse is 0.025364  mae_t is 0.328844  sad is 3.029315  mse is 0.205109
the step is 000125  mae is 0.054287  sad is 166.770798  mse is 0.021915  mae_t is 0.286933  sad is 6.263180  mse is 0.148119
the step is 000126  mae is 0.051793  sad is 159.108444  mse is 0.019725  mae_t is 0.348891  sad is 8.299434  mse is 0.187472
the step is 000127  mae is 0.055837  sad is 171.531677  mse is 0.023276  mae_t is 0.412445  sad is 3.430720  mse is 0.251091
the step is 000128  mae is 0.056952  sad is 174.955414  mse is 0.024674  mae_t is 0.297441  sad is 2.371202  mse is 0.169473
the step is 000129  mae is 0.057274  sad is 175.945618  mse is 0.024897  mae_t is 0.402764  sad is 7.184108  mse is 0.287027
the step is 000130  mae is 0.057922  sad is 177.936996  mse is 0.026741  mae_t is 0.339098  sad is 3.348936  mse is 0.205180
the step is 000131  mae is 0.064284  sad is 197.479141  mse is 0.029860  mae_t is 0.390129  sad is 5.229298  mse is 0.260479
the step is 000132  mae is 0.058121  sad is 178.548340  mse is 0.026257  mae_t is 0.315222  sad is 3.620639  mse is 0.189880
the step is 000133  mae is 0.051019  sad is 156.731445  mse is 0.019954  mae_t is 0.365375  sad is 8.518720  mse is 0.233752
the step is 000134  mae is 0.056293  sad is 172.931976  mse is 0.022914  mae_t is 0.312508  sad is 5.756705  mse is 0.182565
the step is 000135  mae is 0.053174  sad is 163.351135  mse is 0.021208  mae_t is 0.430036  sad is 4.870160  mse is 0.277397
the step is 000136  mae is 0.051710  sad is 158.852539  mse is 0.019507  mae_t is 0.370340  sad is 5.041812  mse is 0.218154
the step is 000137  mae is 0.052133  sad is 160.152756  mse is 0.020448  mae_t is 0.343652  sad is 1.049518  mse is 0.208074
the step is 000138  mae is 0.057111  sad is 175.445724  mse is 0.023801  mae_t is 0.259676  sad is 0.797208  mse is 0.109731
the step is 000139  mae is 0.053903  sad is 165.589294  mse is 0.021051  mae_t is 0.409244  sad is 6.042087  mse is 0.230231
the step is 000140  mae is 0.051428  sad is 157.985916  mse is 0.018869  mae_t is 0.254479  sad is 0.472316  mse is 0.121089
the step is 000141  mae is 0.062128  sad is 190.856354  mse is 0.027058  mae_t is 0.000000  sad is 0.000000  mse is 0.000000
the step is 000142  mae is 0.057173  sad is 175.634476  mse is 0.022994  mae_t is 0.275082  sad is 1.404848  mse is 0.147940
the step is 000143  mae is 0.055431  sad is 170.285416  mse is 0.023382  mae_t is 0.272318  sad is 8.238447  mse is 0.124331
the step is 000144  mae is 0.047094  sad is 144.673920  mse is 0.015775  mae_t is 0.347486  sad is 0.997287  mse is 0.223039
the step is 000145  mae is 0.049986  sad is 153.557266  mse is 0.017892  mae_t is 0.306332  sad is 6.044861  mse is 0.150317
the step is 000146  mae is 0.052746  sad is 162.034241  mse is 0.019679  mae_t is 0.407919  sad is 4.423065  mse is 0.266147
the step is 000147  mae is 0.069704  sad is 214.130737  mse is 0.037339  mae_t is 0.378925  sad is 2.057944  mse is 0.270083
the step is 000148  mae is 0.057395  sad is 176.316559  mse is 0.023756  mae_t is 0.331994  sad is 6.673750  mse is 0.179876
the step is 000149  mae is 0.065539  sad is 201.335846  mse is 0.032209  mae_t is 0.474975  sad is 9.742699  mse is 0.340515
the step is 000150  mae is 0.051173  sad is 157.202927  mse is 0.017929  mae_t is 0.249387  sad is 0.732950  mse is 0.106061
the step is 000151  mae is 0.053286  sad is 163.695679  mse is 0.020295  mae_t is 0.343989  sad is 7.388542  mse is 0.195900
the step is 000152  mae is 0.052667  sad is 161.792786  mse is 0.021099  mae_t is 0.406748  sad is 4.423388  mse is 0.265047
the step is 000153  mae is 0.052279  sad is 160.602036  mse is 0.019314  mae_t is 0.342129  sad is 10.224179  mse is 0.184459
the step is 000154  mae is 0.061759  sad is 189.723465  mse is 0.027559  mae_t is 0.346710  sad is 4.911501  mse is 0.210636
the step is 000155  mae is 0.055080  sad is 169.206055  mse is 0.021965  mae_t is 0.242007  sad is 4.361945  mse is 0.113391
the step is 000156  mae is 0.055589  sad is 170.769394  mse is 0.022610  mae_t is 0.296884  sad is 2.607832  mse is 0.153518
the step is 000157  mae is 0.058012  sad is 178.214005  mse is 0.025408  mae_t is 0.372746  sad is 0.236325  mse is 0.233520
the step is 000158  mae is 0.054913  sad is 168.692764  mse is 0.023874  mae_t is 0.333531  sad is 8.225870  mse is 0.202596
the step is 000159  mae is 0.052215  sad is 160.405823  mse is 0.021379  mae_t is 0.348311  sad is 10.439226  mse is 0.204608
the step is 000160  mae is 0.052276  sad is 160.590912  mse is 0.020420  mae_t is 0.323482  sad is 3.213801  mse is 0.222610
the step is 000161  mae is 0.054843  sad is 168.478683  mse is 0.022770  mae_t is 0.402813  sad is 14.015899  mse is 0.246076
the step is 000162  mae is 0.053826  sad is 165.353165  mse is 0.022903  mae_t is 0.433711  sad is 11.748370  mse is 0.311140
the step is 000163  mae is 0.047505  sad is 145.936264  mse is 0.017144  mae_t is 0.352350  sad is 1.491500  mse is 0.243877
the step is 000164  mae is 0.055627  sad is 170.886612  mse is 0.023827  mae_t is 0.446931  sad is 7.840067  mse is 0.320396
the step is 000165  mae is 0.067590  sad is 207.637878  mse is 0.039142  mae_t is 0.634147  sad is 28.628551  mse is 0.615651
the step is 000166  mae is 0.057024  sad is 175.176620  mse is 0.024876  mae_t is 0.417911  sad is 3.025679  mse is 0.319370
the step is 000167  mae is 0.073098  sad is 224.556122  mse is 0.039558  mae_t is 0.399355  sad is 8.882454  mse is 0.287773
the step is 000168  mae is 0.073812  sad is 226.751038  mse is 0.042218  mae_t is 0.468218  sad is 4.267812  mse is 0.353642
the step is 000169  mae is 0.052145  sad is 160.189224  mse is 0.021882  mae_t is 0.302844  sad is 3.930614  mse is 0.160325
the step is 000170  mae is 0.050969  sad is 156.575882  mse is 0.020190  mae_t is 0.325734  sad is 3.377541  mse is 0.195247
the step is 000171  mae is 0.051408  sad is 157.924149  mse is 0.021141  mae_t is 0.322785  sad is 9.730355  mse is 0.183048
the step is 000172  mae is 0.045736  sad is 140.501755  mse is 0.016110  mae_t is 0.343952  sad is 3.846768  mse is 0.203918
the step is 000173  mae is 0.055746  sad is 171.253067  mse is 0.023532  mae_t is 0.288405  sad is 2.992786  mse is 0.154198
the step is 000174  mae is 0.057222  sad is 175.784470  mse is 0.025019  mae_t is 0.501106  sad is 6.934315  mse is 0.351984
the step is 000175  mae is 0.090298  sad is 277.396698  mse is 0.060114  mae_t is 0.692919  sad is 14.530511  mse is 0.693552
the step is 000176  mae is 0.050821  sad is 156.122345  mse is 0.019458  mae_t is 0.288623  sad is 6.640632  mse is 0.145355
the step is 000177  mae is 0.047133  sad is 144.794067  mse is 0.016944  mae_t is 0.304622  sad is 3.349324  mse is 0.145092
the step is 000178  mae is 0.057476  sad is 176.565948  mse is 0.024836  mae_t is 0.569635  sad is 12.211274  mse is 0.491525
the step is 000179  mae is 0.055826  sad is 171.498291  mse is 0.024149  mae_t is 0.397624  sad is 8.233212  mse is 0.219560
the step is 000180  mae is 0.053420  sad is 164.107117  mse is 0.020667  mae_t is 0.375650  sad is 8.997567  mse is 0.238995
the step is 000181  mae is 0.054515  sad is 167.469254  mse is 0.021071  mae_t is 0.373265  sad is 18.382168  mse is 0.233672
the step is 000182  mae is 0.065943  sad is 202.578186  mse is 0.031330  mae_t is 0.482505  sad is 5.764007  mse is 0.353897
the step is 000183  mae is 0.059616  sad is 183.140823  mse is 0.026227  mae_t is 0.412899  sad is 2.103723  mse is 0.293448
the step is 000184  mae is 0.055639  sad is 170.923218  mse is 0.022305  mae_t is 0.337543  sad is 4.565613  mse is 0.205763
the step is 000185  mae is 0.056332  sad is 173.052353  mse is 0.022699  mae_t is 0.163310  sad is 0.078064  mse is 0.077903
the step is 000186  mae is 0.058887  sad is 180.899979  mse is 0.024216  mae_t is 0.293859  sad is 7.120502  mse is 0.142770
the step is 000187  mae is 0.053247  sad is 163.575974  mse is 0.021765  mae_t is 0.356095  sad is 1.422245  mse is 0.190173
the step is 000188  mae is 0.054214  sad is 166.545731  mse is 0.020574  mae_t is 0.204240  sad is 0.428293  mse is 0.080287
the step is 000189  mae is 0.053614  sad is 164.700943  mse is 0.020813  mae_t is 0.292630  sad is 6.028484  mse is 0.142351
the step is 000190  mae is 0.057756  sad is 177.426773  mse is 0.023616  mae_t is 0.281673  sad is 2.942082  mse is 0.145019
the step is 000191  mae is 0.051090  sad is 156.948837  mse is 0.019761  mae_t is 0.314742  sad is 3.136097  mse is 0.156621
the step is 000192  mae is 0.055378  sad is 170.120270  mse is 0.021177  mae_t is 0.414280  sad is 8.116160  mse is 0.272024
the step is 000193  mae is 0.045756  sad is 140.563385  mse is 0.015779  mae_t is 0.320261  sad is 9.046087  mse is 0.163032
the step is 000194  mae is 0.057995  sad is 178.160706  mse is 0.025766  mae_t is 0.300928  sad is 7.877397  mse is 0.172227
the step is 000195  mae is 0.049106  sad is 150.853317  mse is 0.017921  mae_t is 0.296022  sad is 3.784344  mse is 0.155641
the step is 000196  mae is 0.058665  sad is 180.218353  mse is 0.024887  mae_t is 0.307709  sad is 5.476291  mse is 0.170672
the step is 000197  mae is 0.057068  sad is 175.312668  mse is 0.024716  mae_t is 0.304458  sad is 8.776014  mse is 0.176804
the step is 000198  mae is 0.051606  sad is 158.532349  mse is 0.018920  mae_t is 0.316324  sad is 6.688357  mse is 0.176162
the step is 000199  mae is 0.053263  sad is 163.624985  mse is 0.020279  mae_t is 0.303897  sad is 5.538834  mse is 0.156602
